wikidata_id,name,category,image_url,country,wikipedia_url,sitelinks,latitude,longitude,description
Q214861,Hartsfield–Jackson Atlanta International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Atlanta%20Hartsfield-Jackson.jpg,United States,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,136,33.636666666,-84.428055555,"Hartsfield–Jackson Atlanta International Airport (IATA: ATL, ICAO: KATL, FAA LID: ATL) is the primary international airport serving Atlanta and its surrounding metropolitan area in the U.S. state of Georgia. Located 10 mi (16 km; 8.7 nmi) south of the Downtown Atlanta district, it is named after former Atlanta mayors William B. Hartsfield and Maynard Jackson.
Since 1998, Hartsfield–Jackson has been the world's busiest airport by passenger traffic, except 2020, when its passenger traffic dipped for that year due to travel restrictions resulting from the COVID-19 pandemic. In 2024, Hartsfield–Jackson served 108.1 million passengers, the most of any airport in the world.
Hartsfield–Jackson is the primary hub of Delta Air Lines, and it is home to the airline's corporate headquarters. With just over 1,000 flights a day to 225 domestic and international destinations, the Delta hub is the world's largest airline hub, and it is considered the first mega-hub in America. Additionally, Hartsfi..."
Q8731,Los Angeles International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/LAX2.jpg,United States,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,136,33.9425,-118.408056,"Los Angeles International Airport (IATA: LAX, ICAO: KLAX, FAA LID: LAX) is the primary international airport serving Los Angeles and its surrounding metropolitan area, in the U.S. state of California. LAX is located in the Westchester neighborhood of the City of Los Angeles, 18 miles (29 km; 16 nmi) southwest of downtown Los Angeles, with the commercial and residential areas of Westchester to the north, the city of El Segundo to the south, and the city of Inglewood to the east. LAX is the closest airport to the Westside and the South Bay.
The airport is operated by Los Angeles World Airports (LAWA), a branch of the Los Angeles city government, that also operates the Van Nuys Airport for general aviation. The airport covers 3,500 acres (1,400 ha) of land and has four parallel runways.
In 2023, LAX handled 75,050,875 passengers, making it the world's eleventh-busiest airport, according to the Airports Council International rankings. In 2024, LAX served 76,587,980 passengers, a 2.04% i..."
Q213717,O'Hare International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/O%27Hare%20International%20Airport%20%28USGS%29.png,United States,https://en.wikipedia.org/wiki/O%27Hare_International_Airport,134,41.978611111,-87.904722222,"Chicago O'Hare International Airport (IATA: ORD, ICAO: KORD, FAA LID: ORD) is the primary international airport serving Chicago, Illinois, United States, located on the city's Northwest Side, approximately 17 miles (27 km) northwest of downtown. The airport is operated by the Chicago Department of Aviation and covers 7,627 acres (11.92 sq mi; 30.87 km2). It is the airport with the most runways in the world, with eight.
Designed to be the successor to Chicago's Midway International Airport, itself once nicknamed the ""busiest square mile in the world"", O'Hare began as an airfield serving a Douglas manufacturing plant for C-54 military transports during World War II. It was renamed Orchard Field Airport in the mid-1940s and assigned the IATA code ORD. In 1949, it was renamed after aviator Edward ""Butch"" O'Hare, the U.S. Navy's first Medal of Honor recipient during World War II. As the first major airport planned after World War II, O'Hare's innovative design pioneered concepts such as ..."
Q319654,LaGuardia Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/LaGuardia%20Airport.JPG,United States,https://en.wikipedia.org/wiki/LaGuardia_Airport,116,40.775,-73.875,"LaGuardia Airport (IATA: LGA, ICAO: KLGA, FAA LID: LGA), colloquially known as LaGuardia or LGA, is a civil airport in East Elmhurst, Queens, New York City, United States, situated on the northwestern shore of Long Island, bordering Flushing Bay. Covering 680 acres (280 hectares) as of January 1, 2026, the facility was established in 1929, and began operating as a public airport in 1939. It is named after Fiorello H. La Guardia, a former mayor of New York City.
The airport accommodates airline service primarily to domestic, but also to limited international destinations. As of 2023, it was the third-busiest airport in the New York metropolitan area behind Kennedy and Newark airports, and the 19th-busiest in the United States by passenger volume. The airport is located directly to the north of the Grand Central Parkway, the airport's primary access highway. While the airport is a hub for both American Airlines and Delta Air Lines, commercial service is strictly governed by unique reg..."
Q8688,San Francisco International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20San%20Francisco%20International%20Airport%202010.jpg,United States,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,116,37.618888888,-122.375,"San Francisco International Airport (IATA: SFO, ICAO: KSFO, FAA LID: SFO) is the primary international airport serving the San Francisco Bay Area in the U.S. state of California. Owned and operated by the City and County of San Francisco, the airport has a San Francisco mailing address and ZIP Code, although it is situated in an unincorporated area of neighboring San Mateo County, approximately 12 miles (19 km; 10 nmi) southeast of  San Francisco.
SFO is the largest airport in the Bay Area and the second-busiest in California, following Los Angeles International Airport (LAX). In 2025, it ranked as the 13th-busiest airport in the United States and the 32nd-busiest in the world by passenger traffic. It is a hub for United Airlines, acting as the airline's primary transpacific gateway and as a major maintenance facility. Additionally, SFO functions as a hub for Alaska Airlines."
Q188698,Kīlauea,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/Kilauea%20-%20Landsat%20mosaic.jpg,United States,https://en.wikipedia.org/wiki/K%C4%ABlauea,128,19.421097,-155.286762,"Kīlauea (US:   KIL-ə-WAY-ə, Hawaiian: [kiːlɐwˈwɛjə]) is an active shield volcano in the Hawaiian Islands. It is located along the southeastern shore of Hawaii Island. The volcano is between 210,000 and 280,000 years old and grew above sea level about 100,000 years ago. Since the islands were settled, it has been the most active of the five volcanoes that together form the island and among the most active volcanoes on Earth. The most recent eruption began in December 2024, with episodic lava fountains and flows continuing into 2026.
Kīlauea is the second-youngest product of the Hawaiian hotspot and the current eruptive center of the Hawaiian–Emperor seamount chain. Because it lacks topographic prominence and its activities historically coincided with those of Mauna Loa, Kīlauea was once thought to be a satellite of its much larger neighbor. Kīlauea has a large, fairly recently formed caldera at its summit and two active rift zones, one extending 125 km (78 mi) east and the other 35 k..."
Q859354,Lassen Peak,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/Lassen%20Peak%20in%20June%202020.jpg,United States,https://en.wikipedia.org/wiki/Lassen_Peak,99,40.488055555,-121.505,"Lassen Peak ( LASS-ən), commonly referred to as Mount Lassen, is a 10,457-foot (3,187 m) lava dome volcano in Lassen Volcanic National Park in Northern California.  Located in the Shasta Cascade region above the northern Sacramento Valley, it is the southernmost active volcano in the Cascade Range of the Western United States, and part of the Cascade Volcanic Arc stretching from southwestern British Columbia to Northern California.  It supports many flora and fauna among its diverse habitats, which reach high elevations  and are subject to frequent snowfall.
Lassen Peak has a volume of 0.6 cu mi (2.5 km3), making it one of the largest lava domes on Earth. The volcano arose from the former northern flank of now-eroded Mount Tehama about 27,000 years ago, from a series of eruptions over the course of a few years. The mountain has been significantly eroded by glaciers over the last 25,000 years, and is now covered in talus deposits.
On May 22, 1915, a powerful explosive eruption at Las..."
Q131230,Mauna Kea,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/Mauna%20Kea10.jpg,United States,https://en.wikipedia.org/wiki/Mauna_Kea,87,19.820555555,-155.468055555,"Mauna Kea (, Hawaiian: [ˈmɐwnə ˈkɛjə]; abbreviation for Mauna a Wākea, 'White Mountain') is a dormant shield volcano on the island of Hawaiʻi. Its peak is 13,803 feet (4,207.3 meters) above sea level, making it the highest point in Hawaii and the island with the second highest high point, behind New Guinea. The peak is about 125 ft (38 m) higher than Mauna Loa, its more massive neighbor. Mauna Kea is unusually topographically prominent for its height: its prominence from sea level is 15th in the world among mountains, at 13,803 ft (4,207.3 m); its prominence from under the ocean is 30,610 ft (9,330 m), rivaled only by Mount Everest. This dry prominence is greater than Everest's height above sea level of 8,848.86 metres or 29,031.7 feet, and some authorities have labeled Mauna Kea the tallest mountain in the world, from its underwater base. Mauna Kea is ranked 8th by topographic isolation.
It is about one million years old and thus passed the most active shield stage of life hundreds..."
Q4675,Q4675,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/State%20Route%20504%20eastbound%20approaching%20Mount%20St.%20Helens%20near%20Castle%20Lake.jpg,United States,https://en.wikipedia.org/wiki/Mount_St._Helens,82,46.200277777,-122.189444444,"Mount St. Helens (known as Lawetlat'la to the local Cowlitz people, and Loowit or Louwala-Clough to the Klickitat) is an active stratovolcano located in Skamania County, Washington, in the Pacific Northwest region of the United States. It lies 52 miles (83 km) northeast of Portland, Oregon, and 98 miles (158 km) south of Seattle. Mount St. Helens takes its English name from that of the British diplomat Alleyne FitzHerbert, 1st Baron St Helens, a friend of explorer George Vancouver who surveyed the area in the late 18th century. The volcano is part of the Cascade Volcanic Arc, a segment of the Pacific Ring of Fire.
The mountain's eruption on May 18, 1980 is the most economically destructive volcanic event in U.S. history. 57 people were killed and 200 homes, 47 bridges, 15 miles (24 km) of railways, and 185 miles (298 km) of highway were destroyed. A massive debris avalanche, triggered by a magnitude 5.1 earthquake, caused a lateral eruption that reduced the elevation of the mountain..."
Q159762,Mauna Loa,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/Mauna%20Loa.jpg,United States,https://en.wikipedia.org/wiki/Mauna_Loa,77,19.483333333,-155.6,"Mauna Loa (, Hawaiian: [ˈmɐwnə ˈlowə]; lit. 'Long Mountain') is one of five volcanoes that form the Island of Hawaii in the U.S. state of Hawaii in the Pacific Ocean. Mauna Loa is Earth's largest active volcano by both mass and volume. It was historically considered to be the largest volcano on Earth until the submarine mountain Tamu Massif was discovered to be larger. Mauna Loa is a shield volcano with relatively gentle slopes, and a volume estimated at 18,000 cubic miles (75,000 km3), although its peak is about 125 feet (38 m) lower than that of its neighbor, Mauna Kea. Lava eruptions from Mauna Loa are silica-poor and very fluid, and tend to be non-explosive.
Ancient Hawaiians arrived to the island bringing various changes to the ecosystem. Hunting resulted in the extinction of some bird species, but the Ancient Hawaiians also introduced various plant and animal species, changing the erosion rates of the land. Many religious and traditions beliefs connected the people to the volc..."
